               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10904,            0.031971,            0.044581,           0.0038001,             0.20355,           0.0051129,           0.0016483,            0.084807,            0.024826,            0.042872,              0.0847,              0.0017,              0.0017
                   1,            0.085023,              0.0351,            0.039721,            0.005186,             0.72571,            0.098649,             0.03072,            0.072734,            0.021314,              0.0371,            0.068465,           0.0034654,           0.0034654
                   2,            0.067544,            0.030897,            0.033027,            0.091133,             0.39872,             0.10359,            0.033531,            0.071857,            0.017798,             0.03198,            0.052195,           0.0051951,           0.0051951
                   3,            0.065746,             0.02893,            0.027933,             0.32127,             0.45756,             0.35508,             0.14907,            0.064681,             0.01446,            0.023594,            0.035889,           0.0068891,           0.0068891
                   4,            0.063985,            0.026445,             0.02395,             0.34262,             0.49984,             0.33902,             0.16908,            0.070238,            0.013363,            0.019556,            0.019548,           0.0085476,           0.0085476
                   5,            0.062513,            0.023416,            0.020182,              0.3826,             0.62259,             0.45657,             0.15444,            0.062025,            0.012114,            0.017373,            0.009505,            0.009505,            0.009505
                   6,            0.059625,            0.020525,            0.017885,             0.33203,             0.72685,             0.53621,             0.27548,            0.059709,            0.011132,            0.015653,            0.009505,            0.009505,            0.009505
                   7,            0.059079,            0.020153,            0.016009,             0.50185,             0.76477,              0.6283,             0.24633,            0.056558,           0.0096906,            0.013224,            0.009406,            0.009406,            0.009406
                   8,            0.053752,            0.018115,            0.014814,             0.41433,             0.80639,             0.59456,             0.27143,            0.049763,           0.0093093,            0.011788,            0.009307,            0.009307,            0.009307
                   9,            0.052476,             0.01733,            0.013246,             0.51872,              0.8551,             0.68158,             0.34492,            0.048535,           0.0084946,            0.010943,            0.009208,            0.009208,            0.009208
                  10,            0.048785,            0.016093,            0.011475,             0.51814,             0.90304,             0.73824,             0.38819,            0.049933,           0.0075759,            0.011497,            0.009109,            0.009109,            0.009109
                  11,            0.049146,            0.015934,            0.011913,             0.77616,             0.84489,             0.85859,             0.47197,            0.044028,           0.0082385,            0.010906,             0.00901,             0.00901,             0.00901
                  12,            0.045428,            0.015221,              0.0108,              0.6396,             0.82827,             0.75274,             0.40801,            0.041052,           0.0074644,           0.0096243,            0.008911,            0.008911,            0.008911
                  13,            0.042752,            0.015149,           0.0092875,              0.7822,             0.92551,             0.88289,             0.53456,            0.041277,           0.0075354,           0.0092664,            0.008812,            0.008812,            0.008812
                  14,            0.042559,            0.014943,           0.0089751,             0.75435,             0.90251,             0.84257,             0.43272,            0.044473,           0.0074827,           0.0085528,            0.008713,            0.008713,            0.008713
                  15,            0.040615,            0.014045,           0.0081375,             0.69602,              0.9199,             0.84505,             0.47709,            0.041722,           0.0069172,           0.0073575,            0.008614,            0.008614,            0.008614
                  16,            0.040496,            0.012693,             0.00802,             0.75096,             0.94039,             0.88411,             0.52144,            0.038805,           0.0065029,           0.0080332,            0.008515,            0.008515,            0.008515
                  17,            0.039283,            0.014005,           0.0079169,             0.77005,             0.96525,             0.85211,             0.42801,            0.041298,           0.0067124,           0.0071348,            0.008416,            0.008416,            0.008416
                  18,            0.039379,            0.013305,           0.0088596,             0.91607,             0.96744,             0.95187,             0.58011,            0.036065,           0.0063632,            0.007104,            0.008317,            0.008317,            0.008317
                  19,            0.038224,            0.012728,           0.0076047,             0.86277,              0.9566,             0.94478,             0.67063,            0.033299,           0.0058954,           0.0068915,            0.008218,            0.008218,            0.008218
                  20,            0.036038,            0.012711,           0.0074786,             0.92415,              0.9312,             0.97378,             0.67676,            0.033871,           0.0058675,           0.0067487,            0.008119,            0.008119,            0.008119
                  21,            0.035899,            0.012409,           0.0083963,              0.8522,             0.92361,             0.95272,             0.67733,            0.031088,           0.0058421,           0.0074336,             0.00802,             0.00802,             0.00802
                  22,            0.034214,              0.0122,           0.0073299,             0.88185,             0.88266,             0.92159,             0.60618,            0.032897,           0.0072916,           0.0088789,            0.007921,            0.007921,            0.007921
                  23,            0.035165,             0.01159,           0.0074087,             0.86297,             0.90956,             0.94925,             0.65236,            0.031657,           0.0067374,           0.0064754,            0.007822,            0.007822,            0.007822
                  24,            0.034612,            0.011457,           0.0072307,             0.86246,             0.94002,              0.9389,             0.64047,            0.030245,           0.0066814,           0.0070054,            0.007723,            0.007723,            0.007723
                  25,            0.033645,            0.012153,           0.0062639,              0.8467,             0.87279,             0.91814,             0.62176,            0.032522,           0.0058972,           0.0062445,            0.007624,            0.007624,            0.007624
                  26,            0.034189,            0.011812,           0.0061451,             0.91379,             0.87387,              0.9465,             0.58659,            0.032762,           0.0060109,            0.007334,            0.007525,            0.007525,            0.007525
                  27,             0.03249,            0.012213,           0.0065609,             0.97106,             0.91689,             0.96257,             0.71348,               0.031,           0.0056663,           0.0063225,            0.007426,            0.007426,            0.007426
                  28,            0.032829,            0.011104,           0.0061469,              0.9115,              0.9037,             0.96393,             0.68461,            0.030397,           0.0057087,           0.0065256,            0.007327,            0.007327,            0.007327
                  29,            0.031508,            0.010625,           0.0067042,             0.94613,             0.89536,              0.9642,             0.71256,            0.030187,           0.0056901,           0.0063765,            0.007228,            0.007228,            0.007228
                  30,            0.032302,            0.011297,           0.0060779,             0.96963,             0.95971,             0.97701,             0.65421,            0.030978,           0.0055356,           0.0055628,            0.007129,            0.007129,            0.007129
                  31,             0.03122,            0.011101,           0.0062205,             0.95396,             0.91332,             0.96498,             0.67599,            0.030188,           0.0056625,           0.0053882,             0.00703,             0.00703,             0.00703
                  32,            0.032006,            0.012189,           0.0067542,             0.98428,             0.92071,             0.97823,             0.69246,            0.028907,           0.0054844,           0.0051883,            0.006931,            0.006931,            0.006931
                  33,            0.030825,            0.011788,           0.0065488,             0.97526,             0.90661,             0.97057,             0.72231,            0.029423,           0.0053601,           0.0050875,            0.006832,            0.006832,            0.006832
                  34,            0.030861,            0.011945,            0.006256,             0.89331,             0.93915,              0.9712,             0.69007,            0.028722,           0.0053723,           0.0055992,            0.006733,            0.006733,            0.006733
                  35,            0.030432,            0.011186,           0.0059764,             0.95478,             0.92473,             0.97627,             0.71655,             0.02876,           0.0052181,           0.0051501,            0.006634,            0.006634,            0.006634
                  36,            0.031694,            0.011408,           0.0063685,              0.9604,             0.96678,             0.98414,             0.69763,            0.028677,           0.0052195,           0.0050315,            0.006535,            0.006535,            0.006535
                  37,            0.029351,            0.010531,           0.0063373,              0.9587,             0.95581,             0.98677,             0.73364,             0.02791,           0.0051256,           0.0049891,            0.006436,            0.006436,            0.006436
                  38,            0.029309,            0.010607,           0.0049704,              0.9467,             0.95823,             0.97911,             0.71489,            0.028536,           0.0052896,           0.0051529,            0.006337,            0.006337,            0.006337
                  39,            0.027216,           0.0094282,           0.0056505,             0.91111,             0.94534,             0.97937,             0.75396,             0.02753,           0.0053529,           0.0052362,            0.006238,            0.006238,            0.006238
                  40,            0.029293,            0.010794,           0.0057622,             0.94099,             0.91481,              0.9759,             0.72729,            0.026651,           0.0052308,           0.0049918,            0.006139,            0.006139,            0.006139
                  41,            0.029245,            0.011321,           0.0056383,             0.92935,             0.96177,             0.97973,             0.77561,            0.025902,           0.0050111,            0.004731,             0.00604,             0.00604,             0.00604
                  42,            0.028102,            0.010763,           0.0059312,             0.92826,             0.95014,             0.98287,             0.77253,            0.025502,           0.0050168,           0.0047245,            0.005941,            0.005941,            0.005941
                  43,              0.0271,            0.010445,           0.0053167,             0.95824,             0.94607,             0.98142,              0.7079,            0.028764,           0.0050586,           0.0047316,            0.005842,            0.005842,            0.005842
                  44,            0.027927,           0.0099306,           0.0054869,             0.98282,             0.92894,             0.98581,             0.75236,            0.025518,           0.0048543,           0.0046088,            0.005743,            0.005743,            0.005743
                  45,            0.028263,           0.0096925,           0.0059059,             0.94629,             0.96064,             0.98186,             0.75508,            0.026243,           0.0049076,           0.0045698,            0.005644,            0.005644,            0.005644
                  46,            0.028281,             0.01015,           0.0061386,             0.92776,             0.98594,             0.98207,             0.74624,            0.026993,           0.0052177,           0.0048813,            0.005545,            0.005545,            0.005545
                  47,            0.026398,            0.010347,           0.0052921,              0.9549,             0.96095,             0.98017,             0.76798,            0.025007,           0.0048721,           0.0046864,            0.005446,            0.005446,            0.005446
                  48,            0.025832,            0.010478,            0.005145,             0.95704,             0.96934,              0.9812,             0.73602,            0.025021,           0.0050015,           0.0046015,            0.005347,            0.005347,            0.005347
                  49,            0.027475,            0.010172,           0.0056884,             0.96105,             0.95856,             0.98062,             0.76574,            0.025013,           0.0049337,           0.0046777,            0.005248,            0.005248,            0.005248
                  50,            0.026338,            0.010454,           0.0051253,             0.95213,             0.96478,             0.97917,               0.767,            0.025013,           0.0049007,           0.0048102,            0.005149,            0.005149,            0.005149
                  51,            0.025334,            0.010342,           0.0045437,             0.94067,             0.95405,              0.9797,             0.75208,             0.02404,           0.0049579,           0.0046651,             0.00505,             0.00505,             0.00505
                  52,            0.026128,            0.010083,           0.0056188,             0.94404,             0.94559,             0.97805,             0.74306,            0.024981,           0.0049075,           0.0044229,            0.004951,            0.004951,            0.004951
                  53,            0.024156,           0.0094271,           0.0046921,             0.95776,              0.9441,             0.98234,             0.76534,            0.023616,           0.0047819,            0.004402,            0.004852,            0.004852,            0.004852
                  54,            0.025878,           0.0099814,           0.0053593,             0.95147,             0.95995,             0.97892,             0.75989,            0.024485,           0.0048418,           0.0042859,            0.004753,            0.004753,            0.004753
                  55,            0.024153,            0.010229,           0.0044583,              0.9334,             0.96561,             0.97768,              0.7715,            0.024925,           0.0048595,           0.0043508,            0.004654,            0.004654,            0.004654
                  56,            0.025035,            0.010003,           0.0049381,             0.95011,             0.94989,             0.98103,             0.78387,            0.024824,           0.0048045,           0.0044292,            0.004555,            0.004555,            0.004555
                  57,            0.024249,           0.0099182,           0.0047676,             0.91843,             0.96794,             0.97951,             0.77144,            0.023112,           0.0046133,           0.0043706,            0.004456,            0.004456,            0.004456
                  58,            0.024574,           0.0092201,           0.0051346,             0.94859,             0.94271,              0.9772,             0.75764,            0.024398,           0.0045162,           0.0041888,            0.004357,            0.004357,            0.004357
                  59,            0.024282,           0.0096755,           0.0045534,             0.96361,             0.96684,             0.98481,             0.75761,            0.023075,           0.0044626,           0.0041114,            0.004258,            0.004258,            0.004258
                  60,            0.023956,           0.0093624,           0.0038749,             0.95982,             0.96009,             0.98868,             0.76831,            0.023898,           0.0044176,           0.0040715,            0.004159,            0.004159,            0.004159
                  61,            0.025139,            0.010098,           0.0051314,              0.9188,             0.95598,             0.98038,             0.78628,            0.022638,            0.004397,           0.0041277,             0.00406,             0.00406,             0.00406
                  62,            0.022862,           0.0089841,           0.0045878,             0.93849,             0.97944,             0.98566,             0.79255,            0.023049,           0.0044888,           0.0041259,            0.003961,            0.003961,            0.003961
                  63,            0.023053,           0.0095158,            0.004483,             0.96445,             0.98594,             0.98652,             0.78954,            0.022647,           0.0044397,           0.0040087,            0.003862,            0.003862,            0.003862
                  64,            0.023022,           0.0091161,           0.0042314,             0.95217,             0.98156,             0.98465,             0.78684,            0.022943,           0.0044803,           0.0041465,            0.003763,            0.003763,            0.003763
                  65,            0.023437,           0.0096806,           0.0048111,             0.96015,             0.98122,             0.98756,             0.79189,            0.023922,           0.0044768,           0.0040874,            0.003664,            0.003664,            0.003664
                  66,             0.02361,           0.0096223,           0.0047338,             0.94705,             0.96925,             0.98809,             0.77805,            0.024265,           0.0045376,           0.0040483,            0.003565,            0.003565,            0.003565
                  67,            0.022516,           0.0098889,           0.0045497,             0.91998,             0.96081,             0.98467,              0.7852,            0.023028,           0.0045451,             0.00406,            0.003466,            0.003466,            0.003466
                  68,            0.022543,           0.0097209,           0.0050885,             0.93528,             0.96227,             0.98351,             0.79084,            0.023468,           0.0047479,           0.0041544,            0.003367,            0.003367,            0.003367
                  69,            0.023263,           0.0090987,           0.0047315,             0.93497,             0.94449,             0.98019,             0.78294,            0.022266,           0.0046234,             0.00408,            0.003268,            0.003268,            0.003268
                  70,            0.022112,           0.0089591,           0.0043685,             0.95232,             0.95971,             0.98159,             0.77696,            0.022594,           0.0044259,           0.0039711,            0.003169,            0.003169,            0.003169
                  71,            0.022056,           0.0089054,           0.0048621,             0.96507,             0.96276,             0.98452,             0.80947,              0.0223,           0.0043356,           0.0038192,             0.00307,             0.00307,             0.00307
                  72,            0.021524,           0.0090963,           0.0041576,             0.96884,             0.97565,             0.98541,             0.80555,            0.022455,           0.0043263,           0.0037585,            0.002971,            0.002971,            0.002971
                  73,            0.021503,            0.008941,           0.0041863,             0.93167,             0.97973,             0.98357,             0.79671,            0.022185,           0.0043253,            0.003817,            0.002872,            0.002872,            0.002872
                  74,            0.022066,           0.0097887,           0.0049062,             0.94595,             0.95276,             0.98112,             0.79008,            0.022773,           0.0044511,           0.0038056,            0.002773,            0.002773,            0.002773
                  75,             0.02087,           0.0094163,           0.0047009,             0.96375,             0.94982,             0.98301,             0.79743,            0.022587,           0.0044396,           0.0038087,            0.002674,            0.002674,            0.002674
                  76,            0.020813,            0.009253,           0.0042445,             0.95857,             0.96471,             0.98285,              0.7896,             0.02318,           0.0045507,           0.0038358,            0.002575,            0.002575,            0.002575
                  77,            0.021902,           0.0087435,           0.0047458,             0.94979,               0.965,             0.98701,             0.80104,             0.02238,            0.004502,           0.0038642,            0.002476,            0.002476,            0.002476
                  78,            0.020761,           0.0082826,           0.0039617,               0.954,             0.95989,             0.98664,             0.79067,            0.021853,           0.0043761,           0.0037934,            0.002377,            0.002377,            0.002377
                  79,            0.020019,           0.0081416,           0.0035902,             0.95192,             0.97269,             0.98763,             0.79446,            0.021413,           0.0043155,           0.0037153,            0.002278,            0.002278,            0.002278
                  80,            0.021845,            0.008348,           0.0044078,             0.95771,             0.97792,             0.98667,             0.80578,            0.021443,           0.0042864,           0.0037387,            0.002179,            0.002179,            0.002179
                  81,            0.019656,           0.0092892,           0.0040706,             0.95859,             0.97887,             0.98672,             0.80223,             0.02172,           0.0042246,           0.0036803,             0.00208,             0.00208,             0.00208
                  82,             0.01995,           0.0084891,           0.0040638,              0.9557,             0.97786,             0.98715,             0.80161,            0.021126,           0.0042098,           0.0036875,            0.001981,            0.001981,            0.001981
                  83,            0.020409,           0.0084794,           0.0042807,             0.95341,             0.96736,             0.98705,             0.79907,            0.021363,           0.0041786,           0.0037185,            0.001882,            0.001882,            0.001882
                  84,            0.020664,           0.0093279,           0.0042918,             0.94171,             0.96502,             0.98632,             0.80885,            0.021078,            0.004216,           0.0036954,            0.001783,            0.001783,            0.001783
                  85,            0.019491,           0.0086737,           0.0041313,             0.94363,               0.971,             0.98735,             0.81093,            0.020873,           0.0042237,           0.0036292,            0.001684,            0.001684,            0.001684
                  86,            0.019638,           0.0087599,           0.0042802,             0.92948,             0.97414,             0.98537,             0.80386,            0.021172,           0.0041729,           0.0035659,            0.001585,            0.001585,            0.001585
                  87,            0.018558,           0.0086499,           0.0038661,             0.94932,             0.97601,             0.98819,             0.80751,             0.02141,           0.0041483,           0.0035087,            0.001486,            0.001486,            0.001486
                  88,            0.018915,           0.0082182,           0.0040317,             0.95377,              0.9729,             0.98921,             0.80846,              0.0207,           0.0040534,           0.0035153,            0.001387,            0.001387,            0.001387
                  89,            0.018922,           0.0089052,           0.0039379,             0.93546,             0.99256,             0.98966,             0.80662,            0.020816,           0.0041115,           0.0034968,            0.001288,            0.001288,            0.001288
                  90,            0.018774,           0.0077258,           0.0038649,             0.93663,             0.98316,             0.98697,             0.81084,            0.020766,           0.0041333,            0.003499,            0.001189,            0.001189,            0.001189
                  91,            0.018477,           0.0087092,           0.0036696,             0.94299,             0.96939,             0.98596,             0.81541,            0.020615,           0.0041977,            0.003507,             0.00109,             0.00109,             0.00109
                  92,            0.018367,           0.0088023,           0.0037098,              0.9312,              0.9581,             0.98542,             0.81264,             0.02076,           0.0042319,           0.0035099,            0.000991,            0.000991,            0.000991
                  93,            0.018194,           0.0077867,           0.0037332,             0.95527,             0.96173,             0.98828,             0.81186,            0.020553,            0.004132,           0.0035218,            0.000892,            0.000892,            0.000892
                  94,             0.01869,           0.0087859,           0.0041312,             0.94117,             0.96601,             0.98653,             0.81509,            0.020385,           0.0040759,            0.003475,            0.000793,            0.000793,            0.000793
                  95,            0.018621,           0.0082925,           0.0037091,             0.94098,             0.96788,             0.98567,             0.82231,            0.020243,           0.0040858,           0.0034564,            0.000694,            0.000694,            0.000694
                  96,            0.018063,           0.0078954,           0.0037904,             0.96018,             0.95779,              0.9863,             0.82144,            0.020335,           0.0040897,           0.0034866,            0.000595,            0.000595,            0.000595
                  97,            0.018759,           0.0077546,           0.0039712,               0.967,             0.96487,             0.98788,             0.82738,            0.020047,           0.0040955,           0.0035119,            0.000496,            0.000496,            0.000496
                  98,            0.018258,           0.0087547,           0.0036285,             0.94835,             0.97876,              0.9885,             0.82138,            0.020194,           0.0040881,           0.0034758,            0.000397,            0.000397,            0.000397
                  99,            0.017899,           0.0081106,           0.0036252,             0.95082,             0.97426,             0.98866,             0.82306,            0.020121,           0.0040772,           0.0034711,            0.000298,            0.000298,            0.000298
